"","POP_ID","SPP","SYS_NM","faz_acro","maz_acro","CU_name","CU_findex","Area","IsIndicator","year","escapement"
"147",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1954,200
"148",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1955,25
"149",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1956,75
"150",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1957,200
"151",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1958,200
"152",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1959,400
"153",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1960,75
"154",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1961,200
"155",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1962,200
"156",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1963,400
"157",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1964,100
"158",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1965,1500
"159",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1966,200
"160",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1967,200
"161",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1968,200
"162",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1969,2000
"163",50034,"CN","ASHLU CREEK","SC","GStr","Southern Mainland-Georgia Strait_FA_0.x","CK-020","28B","N",1970,1500
