Production Year,Regional Area,Program Code,Project,Project Contact,Species,Run,Stock,Stock CU Index,Stock CU Name,Stock Stat Area,Objective,Production Strategy Level, Egg Target ,Production Activity Type,Release/ Transfer Stage,Release Site/ Transfer Project,Release/Transfer Facility,Release Stat Area,Release/ Transfer Target,Mark Type,Clip Type, Target # to Mark ,Target Status,Licence NOT Held By SEP,Comment,Data Status (SPA Internal)
2020,BC North Coast,CDP,Toboggan Cr,CA - Smithers & Northwestern BC,Chinook,Spring,Bulkley R Up,CK-55,UPPER BULKLEY RIVER,4, Rebuilding ,Primary,"40,000",Release,Fed Fall,Bulkley R Up,,4,35000,Parentage-based Tagging,N/A,"35,000",,,2018: Returning to the smolt 1+ strategy based on Lana Miller's recommendation. Increasing egg target to 40K to allow flexibility in a good return year.,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Chinook,Spring,Chilcotin R,CK-10,MIDDLE FRASER RIVER_SP_1.3,29G, Assessment ,Primary,"50,000",Release,Fed Fry,Chilcotin R,,29G,40000,,,,,,2020: Added to production plan as a place holder for pilot indicator program. Currently no rearing space available.  Discussions ongoing.,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G, Assessment ,Alternate,"150,000",Release,Smolt 1+,Chilko R,,29G,150000,,,,,,2019: Alternate rearing site if hatchery rebuilding is complete.,
2020,BC North Coast,DPI,Terrace,CA - Northern Interior & N Coast,Coho,Fall,Deep Cr/SKNA,CO-32,LOWER SKEENA,4,,Alternate,"1,500",Transfer Out,Egg,Coast Mtn (Terrace) Sch,,,1500,,,,,,,
2020,BC North Coast,OPS,Snootli Cr,WEM - Snootli Creek Hatchery,Chum,Summer,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,8, Harvest ,Primary,"1,800,000",Release,Fed Fry,Fish Cr+Airport Ch,,8,1656000,,,,,,"If egg targets can not be met on any of the 4 tributaries, excess eggs may be taken to make up the shortfall. Overall egg target between the 4 chum stocks will not excess 7.2M. Excess eggs will be taken in lots up to 900K.",
2020,BC North Coast,OPS,Fulton R,Babine Project Manager,Sockeye,Summer,Fulton Ch #1,SEL-21-02,BABINE,4, Harvest ,Primary,"18,500,000",Release,Chan Fry,Fulton Ch #1,,4,3700000,,,,,,Release target based on fully loaded channel.  In-season run-size estimates and fishery management decisions may affect target loading numbers.,
2020,BC North Coast,OPS,Fulton R,Babine Project Manager,Sockeye,Summer,Fulton Ch #2,SEL-21-02,BABINE,4, Harvest ,Primary,"145,000,000",Release,Chan Fry,Fulton Ch #2,,4,72500000,,,,,,Release target based on fully loaded channel.  In-season run-size estimates and fishery management decisions may affect target loading numbers.,
2020,BC North Coast,OPS,Fulton R,Babine Project Manager,Sockeye,Summer,Fulton R,SEL-21-02,BABINE,4, Harvest ,Primary,"250,000,000",Release,Nat Emerg,Fulton R,,4,37500000,,,,,,Target is for habitat above counting fence.,
2020,BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,CO-27,HECATE STRAIT MAINLAND,6, Harvest ,Primary, -   ,Release,Smolt 1+,Hartley Bay Cr,,6,30000,,,,,,,
2020,BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,CO-27,HECATE STRAIT MAINLAND,6, Harvest ,Primary,"400,000",Release,Fed Fry,Hartley Bay Lk,,6,100000,,,,,,Released into hanging lake - no adandromous fish access,
2020,BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,CO-27,HECATE STRAIT MAINLAND,6, Harvest ,Primary, -   ,Release,Fed Fry,Red Bluff Lk,,6,60000,,,,,,Released into hanging lake - no adandromous fish access,
2020,BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,CO-27,HECATE STRAIT MAINLAND,6, Harvest ,Primary, -   ,Release,Fed Fry,Union Pass Lk,,6,70000,,,,,,Released into hanging lake - no adandromous fish access.,
